[Close  High  Low  3MVol  CHHI  CHLO  Tar_is_0  Tar_is_1  Tar_is_0  ]
[-0.76 -0.75 -0.81 -0.64 -0.78 -1.09  0.    1.    1.    1.    0.84]
[-0.73 -0.73 -0.79 -0.67 -0.76 -1.07  0.    1.    1.    1.   -0.16]
[-0.71 -0.7  -0.76 -0.71 -0.74 -1.06  0.    1.    0.    1.    0.84]
[-0.8  -0.72 -0.8  -0.73 -0.67 -0.99  1.    0.    1.    0.    0.16]
[-0.83 -0.78 -0.85 -0.76 -0.65 -0.97  1.    0.    0.    1.   -0.84]
[-0.82 -0.77 -0.84 -0.79 -0.6  -0.93  1.    0.    1.    0.    0.16]
[-0.78 -0.78 -0.85 -0.81 -0.56 -0.91  1.    0.    1.    0.    0.16]
[-0.87 -0.78 -0.88 -0.82 -0.55 -0.88  1.    0.    1.    0.    0.16]
[-0.89 -0.84 -0.9  -0.84 -0.64 -0.97  1.    0.    0.    1.   -0.84]
[-0.93 -0.85 -0.94 -0.84 -0.67 -1.    1.    0.    1.    0.    0.16]
[-0.89 -0.88 -0.97 -0.84 -0.66 -0.98  1.    0.    0.    1.   -0.84]
[-0.92 -0.87 -0.92 -0.84 -0.61 -0.93  1.    0.    1.    0.    0.16]
[-0.91 -0.89 -0.92 -0.83 -0.7  -1.02  1.    0.    1.    0.    0.16]
[-0.94 -0.9  -0.96 -0.84 -0.72 -1.04  1.    0.    0.    1.   -0.84]
