date/time: ,30/05/2024,07:25 p.m.
Run 1

time	(N)
0,000000	-2,706472E+0
0,005000	-2,706474E+0
0,010000	-2,706476E+0
0,015000	-2,706478E+0
0,020000	-2,706480E+0
0,025000	-2,706484E+0
0,030000	-2,706487E+0
0,035000	-2,706490E+0
0,040000	-2,706492E+0
0,045000	-2,706494E+0
0,050000	-2,706496E+0
0,055000	-2,706497E+0
0,060000	-2,706499E+0
0,065000	-2,706499E+0
0,070000	-2,706500E+0
0,075000	-2,706500E+0
0,080000	-2,706500E+0
0,085000	-2,706500E+0
0,090000	-2,706500E+0
0,095000	-2,706500E+0
0,100000	-2,706499E+0
0,105000	-2,706498E+0
0,110000	-2,706498E+0
0,115000	-2,706498E+0
0,120000	-2,706499E+0
0,125000	-2,706499E+0
0,130000	-2,706498E+0
0,135000	-2,706497E+0
0,140000	-2,706496E+0
0,145000	-2,706494E+0
0,150000	-2,706492E+0
0,155000	-2,706490E+0
0,160000	-2,706488E+0
0,165000	-2,706485E+0
0,170000	-2,706483E+0
0,175000	-2,706480E+0
0,180000	-2,706478E+0
0,185000	-2,706475E+0
0,190000	-2,706472E+0
0,195000	-2,706470E+0
0,200000	-2,706467E+0
0,205000	-2,706465E+0
0,210000	-2,706463E+0
0,215000	-2,706462E+0
0,220000	-2,706460E+0
0,225000	-2,706458E+0
0,230000	-2,706456E+0
0,235000	-2,706453E+0
0,240000	-2,706450E+0
0,245000	-2,706447E+0
0,250000	-2,706445E+0
0,255000	-2,706443E+0
0,260000	-2,706440E+0
0,265000	-2,706438E+0
0,270000	-2,706436E+0
0,275000	-2,706434E+0
0,280000	-2,706433E+0
0,285000	-2,706431E+0
0,290000	-2,706430E+0
0,295000	-2,706429E+0
0,300000	-2,706429E+0
0,305000	-2,706430E+0
0,310000	-2,706431E+0
0,315000	-2,706431E+0
0,320000	-2,706430E+0
0,325000	-2,706430E+0
0,330000	-2,706429E+0
0,335000	-2,706429E+0
0,340000	-2,706429E+0
0,345000	-2,706429E+0
0,350000	-2,706429E+0
0,355000	-2,706430E+0
0,360000	-2,706430E+0
0,365000	-2,706432E+0
0,370000	-2,706433E+0
0,375000	-2,706434E+0
0,380000	-2,706436E+0
0,385000	-2,706438E+0
0,390000	-2,706440E+0
0,395000	-2,706443E+0
0,400000	-2,706446E+0
0,405000	-2,706449E+0
0,410000	-2,706451E+0
0,415000	-2,706453E+0
0,420000	-2,706455E+0
0,425000	-2,706456E+0
0,430000	-2,706458E+0
0,435000	-2,706460E+0
0,440000	-2,706462E+0
0,445000	-2,706464E+0
0,450000	-2,706466E+0
0,455000	-2,706469E+0
0,460000	-2,706471E+0
0,465000	-2,706474E+0
0,470000	-2,706476E+0
0,475000	-2,706478E+0
0,480000	-2,706481E+0
0,485000	-2,706483E+0
0,490000	-2,706486E+0
0,495000	-2,706489E+0
0,500000	-2,706491E+0
0,505000	-2,706492E+0
0,510000	-2,706493E+0
0,515000	-2,706493E+0
0,520000	-2,706494E+0
0,525000	-2,706494E+0
0,530000	-2,706494E+0
0,535000	-2,706495E+0
0,540000	-2,706495E+0
0,545000	-2,706496E+0
