time,(N)
0.000000,2.846672E+2
0.005000,2.843287E+2
0.010000,2.838548E+2
0.015000,2.840173E+2
0.020000,2.844370E+2
0.025000,2.843829E+2
0.030000,2.848026E+2
0.035000,2.843829E+2
0.040000,2.843964E+2
0.045000,2.851682E+2
0.050000,2.841121E+2
0.055000,2.843423E+2
0.060000,2.848839E+2
0.065000,2.845724E+2
0.070000,2.841798E+2
0.075000,2.842475E+2
0.080000,2.838954E+2
0.085000,2.842610E+2
0.090000,2.845995E+2
0.095000,2.851817E+2
0.100000,2.846537E+2
0.105000,2.843423E+2
0.110000,2.839767E+2
0.115000,2.843016E+2
0.120000,2.839631E+2
0.125000,2.840579E+2
0.130000,2.843152E+2
0.135000,2.841256E+2
0.140000,2.838548E+2
0.145000,2.838548E+2
0.150000,2.837600E+2
0.155000,2.842610E+2
0.160000,2.840714E+2
0.165000,2.839225E+2
0.170000,2.839496E+2
0.175000,2.838683E+2
0.180000,2.844641E+2
0.185000,2.843558E+2
0.190000,2.843152E+2
0.195000,2.836111E+2
0.200000,2.841256E+2
0.205000,2.850057E+2
0.210000,2.851005E+2
0.215000,2.846131E+2
0.220000,2.844641E+2
0.225000,2.846808E+2
0.230000,2.845589E+2
0.235000,2.850328E+2
0.240000,2.846537E+2
0.245000,2.845183E+2
0.250000,2.840308E+2
0.255000,2.838413E+2
0.260000,2.849380E+2
0.265000,2.850734E+2
0.270000,2.852224E+2
0.275000,2.846131E+2
0.280000,2.845047E+2
0.285000,2.842204E+2
0.290000,2.843423E+2
0.295000,2.835434E+2
0.300000,2.837194E+2
0.305000,2.839496E+2
0.310000,2.838548E+2
0.315000,2.834215E+2
0.320000,2.834215E+2
0.325000,2.842204E+2
0.330000,2.842068E+2
0.335000,2.836652E+2
0.340000,2.839496E+2
0.345000,2.843829E+2
0.350000,2.844235E+2
0.355000,2.840985E+2
0.360000,2.832455E+2
0.365000,2.844370E+2
0.370000,2.852765E+2
0.375000,2.853848E+2
0.380000,2.843423E+2
0.385000,2.846808E+2
0.390000,2.843558E+2
0.395000,2.846401E+2
0.400000,2.847891E+2
0.405000,2.840308E+2
0.410000,2.843829E+2
0.415000,2.845454E+2
0.420000,2.848432E+2
0.425000,2.855473E+2
0.430000,2.845047E+2
0.435000,2.845318E+2
0.440000,2.842339E+2
0.445000,2.848974E+2
0.450000,2.845995E+2
0.455000,2.843287E+2
0.460000,2.846266E+2
0.465000,2.851005E+2
0.470000,2.844777E+2
0.475000,2.843423E+2
0.480000,2.838819E+2
0.485000,2.843558E+2
0.490000,2.838954E+2
0.495000,2.840444E+2
0.500000,2.841391E+2
0.505000,2.838277E+2
0.510000,2.835298E+2
0.515000,2.833538E+2
0.520000,2.837736E+2
0.525000,2.839496E+2
0.530000,2.833944E+2
0.535000,2.840985E+2
0.540000,2.847349E+2
0.545000,2.842881E+2
0.550000,2.845995E+2
0.555000,2.838413E+2
0.560000,2.837329E+2
0.565000,2.839090E+2
0.570000,2.843423E+2
0.575000,2.834351E+2
0.580000,2.838954E+2
0.585000,2.840037E+2
0.590000,2.842339E+2
0.595000,2.842881E+2
0.600000,2.848026E+2
0.605000,2.845047E+2
0.610000,2.851682E+2
0.615000,2.845995E+2
0.620000,2.845860E+2
0.625000,2.847755E+2
0.630000,2.852088E+2
0.635000,2.849245E+2
0.640000,2.854796E+2
0.645000,2.859129E+2
0.650000,2.858452E+2
0.655000,2.851276E+2
0.660000,2.856015E+2
0.665000,2.860212E+2
0.670000,2.860348E+2
0.675000,2.855744E+2
0.680000,2.860212E+2
0.685000,2.860483E+2
0.690000,2.857775E+2
0.695000,2.864680E+2
0.700000,2.865493E+2
0.705000,2.863597E+2
0.710000,2.870638E+2
0.715000,2.871857E+2
0.720000,2.874159E+2
0.725000,2.878356E+2
0.730000,2.871992E+2
0.735000,2.877137E+2
0.740000,2.878762E+2
0.745000,2.873617E+2
0.750000,2.870367E+2
0.755000,2.871180E+2
0.760000,2.867253E+2
0.765000,2.864410E+2
0.770000,2.864951E+2
0.775000,2.863733E+2
0.780000,2.867659E+2
0.785000,2.863868E+2
0.790000,2.866711E+2
0.795000,2.874294E+2
0.800000,2.869149E+2
0.805000,2.864545E+2
0.810000,2.868336E+2
0.815000,2.866982E+2
0.820000,2.870638E+2
0.825000,2.868607E+2
0.830000,2.869284E+2
0.835000,2.879033E+2
0.840000,2.868742E+2
0.845000,2.870232E+2
0.850000,2.870503E+2
0.855000,2.866982E+2
0.860000,2.866305E+2
0.865000,2.861295E+2
0.870000,2.862920E+2
0.875000,2.864680E+2
0.880000,2.867659E+2
0.885000,2.864545E+2
0.890000,2.859806E+2
0.895000,2.858046E+2
0.900000,2.855879E+2
0.905000,2.859941E+2
0.910000,2.854796E+2
0.915000,2.850057E+2
0.920000,2.841933E+2
0.925000,2.832861E+2
0.930000,2.825143E+2
0.935000,2.814176E+2
0.940000,2.796574E+2
0.945000,2.774910E+2
0.950000,2.750944E+2
0.955000,2.727113E+2
0.960000,2.706938E+2
0.965000,2.678775E+2
0.970000,2.656298E+2
0.975000,2.637342E+2
0.980000,2.615407E+2
0.985000,2.603086E+2
0.990000,2.583182E+2
0.995000,2.540666E+2
1.000000,2.514669E+2
1.005000,2.486099E+2
1.010000,2.449270E+2
1.015000,2.381976E+2
1.020000,2.308182E+2
1.025000,2.232493E+2
1.030000,2.147732E+2
1.035000,2.062158E+2
1.040000,1.968461E+2
1.045000,1.892366E+2
1.050000,1.818301E+2
1.055000,1.752496E+2
1.060000,1.688181E+2
1.065000,1.632125E+2
1.070000,1.579048E+2
1.075000,1.529897E+2
1.080000,1.476549E+2
1.085000,1.431867E+2
1.090000,1.389757E+2
1.095000,1.341419E+2
1.100000,1.286717E+2
1.105000,1.224974E+2
1.110000,1.165668E+2
1.115000,1.107581E+2
1.120000,1.038120E+2
1.125000,9.694720E+1
1.130000,9.174780E+1
